datetime,v1,v2,v1_roll,v2_roll,roll_corr
2025-08-01 07:21:00,4622821551.272667,10887.0,4622744317.3727,10848.033333333333,-0.346072811838552
2025-08-01 07:21:30,4622829520.656,10884.666666666666,4622750226.4240885,10848.366666666667,-0.1314969333294641
2025-08-01 07:22:00,4622837430.111,10869.0,4622756196.522522,10848.7,-0.02860518607477317
2025-08-01 07:22:30,4622845059.693,10856.666666666666,4622762204.82511,10848.71111111111,0.024711829089596522
2025-08-01 07:23:00,4622852756.063667,10851.333333333334,4622768133.386133,10848.011111111111,0.12117938946889831
2025-08-01 07:23:30,4622859387.9626665,10851.666666666666,4622773954.549334,10847.577777777777,0.19434611635998472
2025-08-01 07:24:00,4622865580.413334,10863.0,4622779777.523078,10848.58888888889,0.19372654166787276
2025-08-01 07:24:30,4622871856.162667,10867.666666666666,4622785585.815123,10849.366666666667,0.23891001759374147
2025-08-01 07:25:00,4622879514.194,10871.0,4622791437.670356,10849.944444444445,0.3178959561257552
2025-08-01 07:25:30,4622885949.834666,10864.666666666666,4622797291.515844,10850.755555555554,0.330747417388085
2025-08-01 07:26:00,4622892989.453,10856.0,4622803148.414922,10851.31111111111,0.3097374040700381
2025-08-01 07:26:30,4622899949.576,10851.666666666666,4622809051.740489,10851.677777777777,0.27508199615618684
2025-08-01 07:27:00,4622904953.222333,10837.0,4622814917.541012,10851.622222222222,0.18295802842729192
2025-08-01 07:27:30,4622910877.598667,10846.0,4622820701.461556,10851.71111111111,0.1378881193136412
2025-08-01 07:28:00,4622917874.637,10864.0,4622826534.742344,10851.744444444445,0.20839821964008365
2025-08-01 07:28:30,4622924553.364333,10854.0,4622832429.057722,10850.877777777778,0.30839944463838465
2025-08-01 07:29:00,4622930391.238,10838.0,4622838363.217256,10849.666666666666,0.3422605913760524
2025-08-01 07:29:30,4622935919.7126665,10834.0,4622844322.215522,10849.155555555557,0.28182556375747075
2025-08-01 07:30:00,4622941872.898,10848.0,4622850285.707623,10849.255555555555,0.26257356879709015
